draw,posterior_draw_weight,prob_tertiary,prob_secondary,probability_sum
412,0.00022547648819616463,0.8219855770832439,0.17801442291675593,0.9999999999999999
413,0.00024558306598666064,0.9533781613185748,0.04662183868142533,1.0
414,0.0002489525165103661,0.8997200963041987,0.10027990369580125,1.0
415,0.0002525909993435684,0.9115062940027769,0.08849370599722303,1.0
416,0.00024014758535636404,0.8610406539725113,0.13895934602748877,1.0
417,0.0002607934497546643,0.9377603177586533,0.06223968224134672,1.0
418,0.0002595512555072782,0.9232561404551757,0.0767438595448244,1.0
419,0.00025383040967153457,0.945857347636099,0.05414265236390096,0.9999999999999999
420,0.00024607072580406294,0.8933971575834431,0.10660284241655693,1.0
421,0.00023958759631679654,0.864305647967305,0.13569435203269498,1.0
422,0.00022296098840628774,0.7921244455260247,0.20787555447397535,1.0
423,0.0002965114543045115,0.9788895782857896,0.021110421714210396,1.0
424,0.00023064055346876705,0.8263569916479864,0.17364300835201363,1.0
425,0.00024796595114504337,0.9029799601827925,0.09702003981720757,1.0
426,0.0002556022249937249,0.9168770688603358,0.08312293113966425,1.0
427,0.000234519851102118,0.8642324691414619,0.1357675308585381,1.0
428,0.00026188988404492685,0.9295010097428053,0.07049899025719471,1.0
429,0.00023173778488532298,0.8503093582992036,0.14969064170079652,1.0000000000000002
430,0.00022560143202848305,0.816850547904395,0.183149452095605,1.0
431,0.00024143240724191717,0.8623514696577876,0.13764853034221242,1.0
432,0.0003102237181278493,0.9916541077400723,0.008345892259927587,0.9999999999999999
433,0.00024051801259315962,0.867179042945319,0.13282095705468094,1.0
434,0.00024008544506749267,0.8590762330380297,0.14092376696197034,1.0
435,0.0002683187522982716,0.9727543956160072,0.027245604383992837,1.0
436,0.00023714500659615536,0.8456333450122635,0.15436665498773647,1.0
437,0.000277786332933438,0.9785865484318033,0.02141345156819675,1.0
438,0.0002639198926607541,0.9356739287118333,0.06432607128816674,1.0
439,0.0002637204174259995,0.929659490396961,0.07034050960303899,1.0
440,0.00024214675968216854,0.8663129938931119,0.13368700610688816,1.0
441,0.0002449752143856854,0.8781190871898276,0.12188091281017244,1.0
